locale,name,script,script_type,mean_delta,n_models,old,new
ks,Kashmiri,Arab,abjad,0.03666250000000003,16,0.8153625,0.852025
kab,Kabyle,Latn,alphabet,0.03632727272727272,11,0.8181909090909091,0.8545181818181817
el,Greek,Grek,alphabet,0.03589090909090909,11,0.820690909090909,0.8565818181818181
ba,Bashkir,Cyrl,alphabet,0.03550909090909093,11,0.8225272727272728,0.8580363636363636
tg,Tajik,Cyrl,alphabet,0.0353363636363636,11,0.8233818181818182,0.8587181818181818
kaa,Kara-Kalpak,Cyrl,alphabet,0.035244444444444474,9,0.8238444444444445,0.8590888888888889
apc,apc,Arab,abjad,0.03520833333333332,12,0.8218416666666667,0.85705
ar,Arabic,Arab,abjad,0.03520833333333332,12,0.8218416666666667,0.85705
sr,Serbian,Cyrl,alphabet,0.03480000000000002,9,0.8248222222222222,0.8596222222222223
sah,Yakut,Cyrl,alphabet,0.03359090909090905,11,0.8321727272727273,0.8657636363636364
tzm,Central Atlas Tamazight,Latn,alphabet,0.033445454545454514,11,0.8328181818181818,0.8662636363636363
yav,Yangben,Latn,alphabet,0.03161428571428572,7,0.8419428571428572,0.8735571428571429
kxv,Kuvi,Latn,alphabet,0.030922222222222222,9,0.8451333333333334,0.8760555555555556
mn,Mongolian,Cyrl,alphabet,0.030840000000000044,5,0.8457399999999999,0.87658
ve,Venda,Latn,alphabet,0.030343749999999975,16,0.84820625,0.8785499999999999
eo,Esperanto,Latn,alphabet,0.030188888888888907,9,0.8468111111111111,0.877
cv,Chuvash,Cyrl,alphabet,0.029963636363636324,11,0.8501272727272727,0.880090909090909
bas,Basaa,Latn,alphabet,0.029631250000000005,16,0.851225,0.88085625
mk,Macedonian,Cyrl,alphabet,0.02936363636363636,11,0.8498272727272728,0.879190909090909
rif,Riffian,Latn,alphabet,0.02936363636363635,11,0.8533636363636364,0.8827272727272727
yrl,Nheengatu,Latn,alphabet,0.02860000000000007,5,0.8571,0.8857000000000002
agq,Aghem,Latn,alphabet,0.028574999999999982,16,0.856975,0.88555
nnh,Ngiemboon,Latn,alphabet,0.02847500000000002,16,0.85764375,0.88611875
ky,Kyrgyz,Cyrl,alphabet,0.027671428571428538,7,0.8617285714285714,0.8894
dua,Duala,Latn,alphabet,0.027588888888888885,9,0.8619666666666667,0.8895555555555555
tyv,Tuvinian,Cyrl,alphabet,0.026971428571428615,7,0.8650857142857143,0.8920571428571428
ee,Ewe,Latn,alphabet,0.026471428571428566,14,0.8671214285714285,0.8935928571428571
kgp,Kaingang,Latn,alphabet,0.026357142857142857,7,0.8681428571428571,0.8945
ken,Kenyang,Latn,alphabet,0.02624375000000001,16,0.86889375,0.8951375
nmg,Kwasio,Latn,alphabet,0.02587499999999999,16,0.86995625,0.89583125
ewo,Ewondo,Latn,alphabet,0.025835714285714257,14,0.8708571428571429,0.8966928571428571
naq,Nama,Latn,alphabet,0.025800000000000045,11,0.871,0.8968
bss,Akoose,Latn,alphabet,0.025237499999999982,16,0.8737875,0.899025
blo,Anii,Latn,alphabet,0.024999999999999994,16,0.87500625,0.90000625
mgo,Metaʼ,Latn,alphabet,0.023242857142857152,7,0.8839,0.9071428571428571
ha,Hausa,Latn,alphabet,0.023156250000000024,16,0.8815,0.9046562499999999
lkt,Lakota,Latn,alphabet,0.0230363636363636,11,0.8848454545454545,0.9078818181818181
kkj,Kako,Latn,alphabet,0.022821428571428548,14,0.8860071428571429,0.9088285714285714
cy,Welsh,Latn,alphabet,0.02266875000000001,16,0.8864937500000001,0.9091625
sms,Skolt Sami,Latn,alphabet,0.02258750000000001,16,0.88558125,0.90816875
uk,Ukrainian,Cyrl,alphabet,0.022436363636363657,11,0.8877272727272728,0.9101636363636364
bm,Bambara,Latn,alphabet,0.022199999999999998,9,0.8889222222222222,0.9111222222222222
ln,Lingala,Latn,alphabet,0.021957142857142817,14,0.8902428571428571,0.9122
is,Icelandic,Latn,alphabet,0.02190000000000003,2,0.8906000000000001,0.9125000000000001
cch,Atsam,Latn,alphabet,0.021435714285714298,14,0.8928642857142857,0.9143
lu,Luba-Katanga,Latn,alphabet,0.021049999999999975,6,0.8947333333333334,0.9157833333333333
prg,Prussian,Latn,alphabet,0.020963636363636365,11,0.8951090909090909,0.9160727272727273
ksf,Bafia,Latn,alphabet,0.020922222222222238,9,0.8954333333333333,0.9163555555555555
mua,Mundang,Latn,alphabet,0.020831249999999996,16,0.893,0.91383125
co,Corsican,Latn,alphabet,0.020600000000000063,2,0.8966,0.9172
vec,Venetian,Latn,alphabet,0.020600000000000063,2,0.8966,0.9172
ki,Kikuyu,Latn,alphabet,0.020000000000000018,5,0.9,0.9200000000000002
gaa,Ga,Latn,alphabet,0.01979999999999991,7,0.9010857142857144,0.9208857142857142
be,Belarusian,Cyrl,alphabet,0.019614285714285695,7,0.9018142857142857,0.9214285714285715
nus,Nuer,Latn,alphabet,0.01950000000000001,14,0.90275,0.92225
pap,Papiamento,Latn,alphabet,0.019399999999999973,2,0.9032,0.9226
yo,Yoruba,Latn,alphabet,0.019062499999999996,16,0.9046875,0.92375
ff,Fula,Latn,alphabet,0.018962500000000014,16,0.90234375,0.92130625
lv,Latvian,Latn,alphabet,0.01884444444444444,9,0.9057333333333334,0.9245777777777779
gn,Guarani,Latn,alphabet,0.018528571428571432,14,0.9064500000000001,0.9249785714285714
mas,Masai,Latn,alphabet,0.01821818181818183,11,0.9090727272727274,0.9272909090909092
mt,Maltese,Latn,alphabet,0.018181818181818177,11,0.9091,0.9272818181818182
arn,Mapuche,Latn,alphabet,0.018000000000000016,16,0.91,0.928
ltg,Latgalian,Latn,alphabet,0.01778888888888888,9,0.9110999999999999,0.9288888888888889
gd,Scottish Gaelic,Latn,alphabet,0.01739999999999997,2,0.913,0.9304
lij,Ligurian,Latn,alphabet,0.01739999999999997,2,0.913,0.9304
fo,Faroese,Latn,alphabet,0.017199999999999993,2,0.9138,0.931
ak,Akan,Latn,alphabet,0.016683333333333328,6,0.9166666666666666,0.93335
hu,Hungarian,Latn,alphabet,0.01666666666666668,3,0.9166666666666666,0.9333333333333332
sk,Slovak,Latn,alphabet,0.016509090909090886,11,0.9169090909090909,0.9334181818181818
mhn,mhn,Latn,alphabet,0.016199999999999992,2,0.9189,0.9351
