model,locale,name,script,script_type,old_score,new_score,norm_score,comparability,delta
mistralai/Mistral-Small-3.1-24B-Instruct-2503,szl,Silesian,Latn,alphabet,0.9706,0.9765,,direct,0.005900000000000016
mistralai/Mistral-Small-3.1-24B-Instruct-2503,ta,Tamil,Taml,abugida,0.8574,0.8745,,direct,0.017100000000000004
mistralai/Mistral-Small-3.1-24B-Instruct-2503,te,Telugu,Telu,abugida,0.7043,0.7557,,direct,0.0514
mistralai/Mistral-Small-3.1-24B-Instruct-2503,teo,Teso,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tg,Tajik,Cyrl,alphabet,0.8857,0.9086,,direct,0.02289999999999992
mistralai/Mistral-Small-3.1-24B-Instruct-2503,th,Thai,Thai,abugida,0.8493,0.8795,,direct,0.030199999999999894
mistralai/Mistral-Small-3.1-24B-Instruct-2503,ti,Tigrinya,Ethi,syllabary,0.0,0.2,,within_script_only,0.2
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tig,Tigre,Ethi,syllabary,0.0,0.2,,within_script_only,0.2
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tk,Turkmen,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tn,Tswana,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,to,Tongan,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tok,Toki Pona,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tpi,Tok Pisin,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tr,Turkish,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,trv,Taroko,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,trw,Torwali,Arab,abjad,0.8896,0.9104,,direct,0.02080000000000004
mistralai/Mistral-Small-3.1-24B-Instruct-2503,ts,Tsonga,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tt,Tatar,Cyrl,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,twq,Tasawaq,Latn,alphabet,0.9375,0.95,,direct,0.012499999999999956
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tyv,Tuvinian,Cyrl,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,tzm,Central Atlas Tamazight,Latn,alphabet,0.7419,0.7935,,direct,0.05159999999999998
mistralai/Mistral-Small-3.1-24B-Instruct-2503,ug,Uyghur,Arab,abjad,0.8235,0.8588,,direct,0.0353
mistralai/Mistral-Small-3.1-24B-Instruct-2503,uk,Ukrainian,Cyrl,alphabet,0.9706,0.9765,,direct,0.005900000000000016
mistralai/Mistral-Small-3.1-24B-Instruct-2503,ur,Urdu,Arab,abjad,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,uz,Uzbek,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,vai,Vai,Vaii,syllabary,0.0,0.2,,within_script_only,0.2
mistralai/Mistral-Small-3.1-24B-Instruct-2503,ve,Venda,Latn,alphabet,0.8214,0.8571,,direct,0.035699999999999954
mistralai/Mistral-Small-3.1-24B-Instruct-2503,vec,Venetian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,vi,Vietnamese,Latn,alphabet,0.9888,0.991,,direct,0.0021999999999999797
mistralai/Mistral-Small-3.1-24B-Instruct-2503,vmw,Makhuwa,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,vo,Volapük,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,vun,Vunjo,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,wa,Walloon,Latn,alphabet,0.9767,0.9814,,direct,0.0047000000000000375
mistralai/Mistral-Small-3.1-24B-Instruct-2503,wae,Walser,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,wal,Wolaytta,Ethi,syllabary,0.0,0.2,,within_script_only,0.2
mistralai/Mistral-Small-3.1-24B-Instruct-2503,wbp,Warlpiri,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,wo,Wolof,Latn,alphabet,0.9655,0.9724,,direct,0.006900000000000017
mistralai/Mistral-Small-3.1-24B-Instruct-2503,xh,Xhosa,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,xnr,Kangri,Deva,abugida,0.9364,0.9455,,direct,0.009099999999999997
mistralai/Mistral-Small-3.1-24B-Instruct-2503,xog,Soga,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,yav,Yangben,Latn,alphabet,0.8298,0.8638,,direct,0.03400000000000003
mistralai/Mistral-Small-3.1-24B-Instruct-2503,yi,Yiddish,Hebr,abjad,0.8824,0.9059,,direct,0.023500000000000076
mistralai/Mistral-Small-3.1-24B-Instruct-2503,yo,Yoruba,Latn,alphabet,0.85,0.88,,direct,0.030000000000000027
mistralai/Mistral-Small-3.1-24B-Instruct-2503,yrl,Nheengatu,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,yue,Cantonese,Hant,logographic,0.4615,0.569,,within_script_only,0.10749999999999993
mistralai/Mistral-Small-3.1-24B-Instruct-2503,za,Zhuang,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Small-3.1-24B-Instruct-2503,zgh,Standard Moroccan Tamazight,Tfng,alphabet,0.0,0.2,,direct,0.2
mistralai/Mistral-Small-3.1-24B-Instruct-2503,zh,Chinese,Hans,logographic,0.5486,0.6388,,within_script_only,0.09020000000000006
mistralai/Mistral-Small-3.1-24B-Instruct-2503,zu,Zulu,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,aa,Afar,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ab,Abkhazian,Cyrl,alphabet,0.82,0.82,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,af,Afrikaans,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,agq,Aghem,Latn,alphabet,0.9846,0.9846,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ak,Akan,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,am,Amharic,Ethi,syllabary,0.2227,0.2227,,within_script_only,0.0
mistralai/Mixtral-8x22B-v0.1,an,Aragonese,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ann,Obolo,Latn,alphabet,0.9795,0.9795,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,apc,apc,Arab,abjad,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ar,Arabic,Arab,abjad,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,arn,Mapuche,Latn,alphabet,0.936,0.936,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,as,Assamese,Beng,abugida,0.6339,0.6339,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,asa,Asu,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ast,Asturian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,az,Azerbaijani,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ba,Bashkir,Cyrl,alphabet,0.9429,0.9429,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bal,Baluchi,Arab,abjad,0.9758,0.9758,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bas,Basaa,Latn,alphabet,0.9484,0.9484,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,be,Belarusian,Cyrl,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bem,Bemba,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bew,Betawi,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bez,Bena,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bg,Bulgarian,Cyrl,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bgc,Haryanvi,Deva,abugida,0.7655,0.7655,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bgn,Western Balochi,Arab,abjad,0.9784,0.9784,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bho,Bhojpuri,Deva,abugida,0.8167,0.8167,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,blo,Anii,Latn,alphabet,0.9347,0.9347,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,blt,Tai Dam,Tavt,abugida,0.2,0.2,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bm,Bambara,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bn,Bangla,Beng,abugida,0.5882,0.5882,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bo,Tibetan,Tibt,abugida,0.3195,0.3195,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,br,Breton,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,brx,Bodo,Deva,abugida,0.7639,0.7639,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bs,Bosnian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,bss,Akoose,Latn,alphabet,0.9846,0.9846,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,byn,Blin,Ethi,syllabary,0.2221,0.2221,,within_script_only,0.0
mistralai/Mixtral-8x22B-v0.1,ca,Catalan,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cad,Caddo,Latn,alphabet,0.9733,0.9733,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cch,Atsam,Latn,alphabet,0.9143,0.9143,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ccp,Chakma,Cakm,abugida,0.2,0.2,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ce,Chechen,Cyrl,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,ceb,Cebuano,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cgg,Chiga,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,cho,Choctaw,Latn,alphabet,0.9619,0.9619,,direct,0.0
mistralai/Mixtral-8x22B-v0.1,chr,Cherokee,Cher,syllabary,0.2,0.2,,within_script_only,0.0
mistralai/Mixtral-8x22B-v0.1,cic,Chickasaw,Latn,alphabet,0.9579,0.9579,,direct,0.0
